"id","sl.cat","ta.cat","act.cat","northing","easting","date_time"
"blanca",1,8,4,7875809,625735,1562970271
"blanca",2,10,NA,7875863,625804,1562970682
"blanca",1,6,NA,7875879,625809,1562971108
"blanca",1,6,4,7875915,625810,1562971512
"blanca",1,5,NA,7875970,625852,1562971984
"blanca",1,5,3,7875977,625860,1562972364
"blanca",1,8,NA,7875999,625826,1562972777
"blanca",1,2,NA,7876012,625845,1562973234
"blanca",1,6,2,7876016,625849,1562973621
"blanca",1,6,NA,7876045,625855,1562974040
"blanca",1,4,3,7876060,625877,1562974456
"blanca",1,4,NA,7876058,625909,1562974894
"blanca",1,7,NA,7876078,625940,1562975303
"blanca",1,8,4,7876112,625921,1562975716
"blanca",1,4,NA,7876136,625942,1562976184
"blanca",1,7,2,7876144,625942,1562976604
"blanca",1,NA,NA,7876206,625970,1562978247
"blanca",1,1,2,7876204,625975,1562978668
"blanca",1,1,NA,7876205,625946,1562979093
"blanca",1,8,NA,7876171,625934,1562979494
"blanca",2,7,4,7876098,625977,1562979925
"blanca",1,NA,4,7875953,625940,1562984973
"blanca",1,9,NA,7875886,625971,1562985423
"blanca",1,10,NA,7875889,625971,1562985792
"blanca",1,9,1,7875874,625954,1562986228
"blanca",1,8,NA,7875862,625961,1562986640
"blanca",1,2,4,7875862,625925,1562987062
"blanca",2,6,NA,7875785,625819,1562987493
"blanca",1,6,NA,7875736,625772,1562987902
"blanca",1,NA,NA,7875689,625774,1563059597
"blanca",1,7,2,7875686,625786,1563060029
"blanca",1,9,NA,7875698,625785,1563060448
"blanca",1,2,1,7875679,625814,1563060857
"blanca",1,7,NA,7875682,625848,1563061273
"blanca",1,2,NA,7875641,625809,1563061738
"blanca",1,6,4,7875622,625802,1563062114
"blanca",1,7,NA,7875605,625812,1563062549
"blanca",1,6,4,7875579,625838,1563062966
"blanca",1,2,NA,7875579,625837,1563063374
"blanca",1,10,NA,7875561,625898,1563063840
"blanca",1,8,4,7875601,625897,1563064222
"blanca",1,NA,NA,7875492,625873,1563065488
"blanca",1,5,NA,7875461,625854,1563065921
"blanca",1,7,3,7875423,625866,1563066330
"blanca",1,9,NA,7875441,625889,1563066783
"blanca",4,8,4,7875628,625778,1563067165
"blanca",3,10,NA,7875424,625825,1563067623
"blanca",1,9,NA,7875476,625850,1563068003
"blanca",1,7,2,7875527,625834,1563068437
"blanca",2,6,NA,7875598,625804,1563068883
"blanca",1,10,3,7875541,625818,1563069303
"blanca",1,1,NA,7875576,625802,1563069723
"blanca",2,7,NA,7875567,625723,1563070097
"blanca",1,6,3,7875555,625699,1563070531
"blanca",7,7,NA,7874951,625480,1563070952
"blanca",7,10,4,7875584,625731,1563071403
"blanca",1,NA,2,7875744,625817,1563073462
"blanca",1,7,NA,7875718,625845,1563073898
"blanca",1,NA,NA,7875715,625757,1563143496
"blanca",1,NA,NA,7875776,625772,1563229878
"blanca",2,4,NA,7875805,625864,1563230300
"blanca",2,6,5,7875863,625965,1563230720
"blanca",1,7,NA,7875909,625963,1563231136
"blanca",2,2,5,7875855,626043,1563231559
"blanca",1,6,NA,7875842,626094,1563231990
"blanca",1,NA,NA,7875800,626153,1563234092
"blanca",2,9,NA,7875837,626254,1563234495
"blanca",1,NA,NA,7875836,626245,1563238706
"blanca",1,6,4,7875869,626243,1563239134
"blanca",1,2,NA,7875866,626250,1563239583
"blanca",1,NA,1,7875882,626246,1563240843
"blanca",1,10,1,7875874,626241,1563241219
"blanca",5,NA,NA,7875896,626323,1563243783
"blanca",1,NA,NA,7875875,626188,1563316704
"blanca",1,8,3,7875890,626165,1563317123
"blanca",1,5,NA,7875909,626150,1563317543
"blanca",1,4,2,7875918,626154,1563317980
"blanca",1,4,NA,7875918,626156,1563318418
"blanca",1,10,2,7875934,626117,1563318843
"blanca",1,6,3,7875936,626111,1563319213
"blanca",1,8,NA,7875918,626105,1563319683
"blanca",1,8,2,7875910,626132,1563320060
"blanca",1,7,NA,7875961,626168,1563320486
"blanca",1,3,NA,7875939,626195,1563320925
"blanca",1,4,2,7875906,626195,1563321341
"blanca",2,1,NA,7875980,626170,1563321734
"blanca",1,4,3,7876008,626197,1563322175
"blanca",1,6,NA,7876065,626226,1563322576
"blanca",1,9,NA,7876062,626200,1563323029
"blanca",1,1,2,7876070,626214,1563323422
"blanca",4,2,NA,7875817,626193,1563323875
"blanca",1,NA,NA,7876021,626235,1563325109
"blanca",1,1,4,7876000,626194,1563325517
"blanca",1,9,NA,7875987,626212,1563325983
"blanca",1,7,3,7875988,626225,1563326358
"blanca",1,3,NA,7875921,626221,1563326792
"blanca",1,5,NA,7875884,626195,1563327198
"blanca",1,8,3,7875849,626225,1563327619
"blanca",1,9,NA,7875879,626227,1563328036
"blanca",1,1,3,7875831,626252,1563328479
"blanca",1,3,NA,7875815,626235,1563328885
"blanca",1,NA,3,7875816,626224,1563402303
"blanca",1,9,NA,7875771,626222,1563402682
"blanca",1,3,NA,7875768,626189,1563403097
"blanca",1,9,3,7875737,626213,1563403543
"blanca",1,4,NA,7875714,626213,1563403952
"blanca",1,NA,NA,7875672,626187,1563405209
"blanca",1,1,3,7875675,626153,1563405621
"blanca",1,4,NA,7875704,626143,1563406040
"blanca",1,4,4,7875739,626163,1563406451
"blanca",1,6,NA,7875787,626188,1563406906
"blanca",1,4,NA,7875791,626225,1563407302
"blanca",1,NA,NA,7875781,626296,1563489086
"blanca",1,9,NA,7875817,626310,1563489492
"blanca",1,5,4,7875827,626320,1563489913
"blanca",1,5,NA,7875847,626366,1563490337
"blanca",1,2,2,7875827,626360,1563490750
"blanca",2,NA,NA,7875929,626345,1563492063
"blanca",1,6,NA,7875944,626311,1563492449
"blanca",1,NA,NA,7876037,626318,1563493695
"blanca",1,7,2,7876091,626347,1563494153
"blanca",1,3,NA,7876080,626378,1563494562
"blanca",1,8,3,7876150,626395,1563495003
"blanca",1,9,NA,7876139,626380,1563495419
"blanca",1,6,NA,7876118,626365,1563495800
"blanca",1,4,NA,7876124,626305,1563496263
"blanca",1,6,NA,7876120,626285,1563496644
"blanca",1,5,1,7876121,626277,1563497103
"blanca",1,6,NA,7876121,626269,1563497523
"blanca",1,5,NA,7876127,626256,1563497937
